mess_datum;stations_id;tmk;altitude;latitude;longitude;name;state
2018-06-29;1078;22.8;37;51.296;6.7686;Düsseldorf;Nordrhein-Westfalen
2018-06-30;1078;22.1;37;51.296;6.7686;Düsseldorf;Nordrhein-Westfalen
2016-05-01;1590;8.7;37;51.4942;6.2463;Geldern-Walbeck;Nordrhein-Westfalen
2016-05-02;1590;12.4;37;51.4942;6.2463;Geldern-Walbeck;Nordrhein-Westfalen
2016-05-03;1590;11.3;37;51.4942;6.2463;Geldern-Walbeck;Nordrhein-Westfalen
2016-05-04;1590;10.1;37;51.4942;6.2463;Geldern-Walbeck;Nordrhein-Westfalen
2016-05-05;1590;13.9;37;51.4942;6.2463;Geldern-Walbeck;Nordrhein-Westfalen
2016-05-06;1590;18;37;51.4942;6.2463;Geldern-Walbeck;Nordrhein-Westfalen
2016-05-07;1590;20.3;37;51.4942;6.2463;Geldern-Walbeck;Nordrhein-Westfalen
2016-05-08;1590;20.7;37;51.4942;6.2463;Geldern-Walbeck;Nordrhein-Westfalen
2016-05-09;1590;20.7;37;51.4942;6.2463;Geldern-Walbeck;Nordrhein-Westfalen
2016-05-10;1590;19.2;37;51.4942;6.2463;Geldern-Walbeck;Nordrhein-Westfalen
2016-05-11;1590;20.5;37;51.4942;6.2463;Geldern-Walbeck;Nordrhein-Westfalen
2016-05-12;1590;20.2;37;51.4942;6.2463;Geldern-Walbeck;Nordrhein-Westfalen
2016-05-13;1590;17.5;37;51.4942;6.2463;Geldern-Walbeck;Nordrhein-Westfalen
2016-05-14;1590;9.4;37;51.4942;6.2463;Geldern-Walbeck;Nordrhein-Westfalen
2016-05-15;1590;9.1;37;51.4942;6.2463;Geldern-Walbeck;Nordrhein-Westfalen
2016-05-16;1590;9.7;37;51.4942;6.2463;Geldern-Walbeck;Nordrhein-Westfalen
2016-05-17;1590;13.1;37;51.4942;6.2463;Geldern-Walbeck;Nordrhein-Westfalen
2016-05-18;1590;14.3;37;51.4942;6.2463;Geldern-Walbeck;Nordrhein-Westfalen
2016-05-19;1590;13.8;37;51.4942;6.2463;Geldern-Walbeck;Nordrhein-Westfalen
2016-05-20;1590;13.9;37;51.4942;6.2463;Geldern-Walbeck;Nordrhein-Westfalen
2016-05-21;1590;19;37;51.4942;6.2463;Geldern-Walbeck;Nordrhein-Westfalen
2016-05-22;1590;17.3;37;51.4942;6.2463;Geldern-Walbeck;Nordrhein-Westfalen
2016-05-23;1590;12.6;37;51.4942;6.2463;Geldern-Walbeck;Nordrhein-Westfalen
2016-05-24;1590;11.5;37;51.4942;6.2463;Geldern-Walbeck;Nordrhein-Westfalen
2016-05-25;1590;13.1;37;51.4942;6.2463;Geldern-Walbeck;Nordrhein-Westfalen
2016-05-26;1590;16.1;37;51.4942;6.2463;Geldern-Walbeck;Nordrhein-Westfalen
2016-05-27;1590;16.3;37;51.4942;6.2463;Geldern-Walbeck;Nordrhein-Westfalen
2016-05-28;1590;19.1;37;51.4942;6.2463;Geldern-Walbeck;Nordrhein-Westfalen
2016-05-29;1590;17.3;37;51.4942;6.2463;Geldern-Walbeck;Nordrhein-Westfalen
2016-05-30;1590;17;37;51.4942;6.2463;Geldern-Walbeck;Nordrhein-Westfalen
2016-05-31;1590;17.6;37;51.4942;6.2463;Geldern-Walbeck;Nordrhein-Westfalen
2016-06-01;1590;17.4;37;51.4942;6.2463;Geldern-Walbeck;Nordrhein-Westfalen
2016-06-02;1590;18.8;37;51.4942;6.2463;Geldern-Walbeck;Nordrhein-Westfalen
2016-06-03;1590;18.4;37;51.4942;6.2463;Geldern-Walbeck;Nordrhein-Westfalen
2016-06-04;1590;18.7;37;51.4942;6.2463;Geldern-Walbeck;Nordrhein-Westfalen
2016-06-05;1590;21.5;37;51.4942;6.2463;Geldern-Walbeck;Nordrhein-Westfalen
2016-06-06;1590;20.8;37;51.4942;6.2463;Geldern-Walbeck;Nordrhein-Westfalen
2016-06-07;1590;20.5;37;51.4942;6.2463;Geldern-Walbeck;Nordrhein-Westfalen
2016-06-08;1590;18.3;37;51.4942;6.2463;Geldern-Walbeck;Nordrhein-Westfalen
2016-06-09;1590;16.2;37;51.4942;6.2463;Geldern-Walbeck;Nordrhein-Westfalen
2016-06-10;1590;16.7;37;51.4942;6.2463;Geldern-Walbeck;Nordrhein-Westfalen
2016-06-11;1590;17.9;37;51.4942;6.2463;Geldern-Walbeck;Nordrhein-Westfalen
2016-06-12;1590;16.6;37;51.4942;6.2463;Geldern-Walbeck;Nordrhein-Westfalen
2016-06-13;1590;15.8;37;51.4942;6.2463;Geldern-Walbeck;Nordrhein-Westfalen
2016-06-14;1590;16.1;37;51.4942;6.2463;Geldern-Walbeck;Nordrhein-Westfalen
2016-06-15;1590;15;37;51.4942;6.2463;Geldern-Walbeck;Nordrhein-Westfalen
2016-06-16;1590;15.3;37;51.4942;6.2463;Geldern-Walbeck;Nordrhein-Westfalen
2016-06-17;1590;14.9;37;51.4942;6.2463;Geldern-Walbeck;Nordrhein-Westfalen
2016-06-18;1590;14.9;37;51.4942;6.2463;Geldern-Walbeck;Nordrhein-Westfalen
2016-06-19;1590;14.8;37;51.4942;6.2463;Geldern-Walbeck;Nordrhein-Westfalen
2016-06-20;1590;15.3;37;51.4942;6.2463;Geldern-Walbeck;Nordrhein-Westfalen
2016-06-21;1590;18;37;51.4942;6.2463;Geldern-Walbeck;Nordrhein-Westfalen
2016-06-22;1590;20.9;37;51.4942;6.2463;Geldern-Walbeck;Nordrhein-Westfalen
2016-06-23;1590;24.5;37;51.4942;6.2463;Geldern-Walbeck;Nordrhein-Westfalen
2016-06-24;1590;21.3;37;51.4942;6.2463;Geldern-Walbeck;Nordrhein-Westfalen
2016-06-25;1590;16.1;37;51.4942;6.2463;Geldern-Walbeck;Nordrhein-Westfalen
2016-06-26;1590;14.3;37;51.4942;6.2463;Geldern-Walbeck;Nordrhein-Westfalen
2016-06-27;1590;14.8;37;51.4942;6.2463;Geldern-Walbeck;Nordrhein-Westfalen
2016-06-28;1590;17.6;37;51.4942;6.2463;Geldern-Walbeck;Nordrhein-Westfalen
2016-06-29;1590;16.9;37;51.4942;6.2463;Geldern-Walbeck;Nordrhein-Westfalen
2016-06-30;1590;17.1;37;51.4942;6.2463;Geldern-Walbeck;Nordrhein-Westfalen
2017-05-01;1590;10.3;37;51.4942;6.2463;Geldern-Walbeck;Nordrhein-Westfalen
2017-05-02;1590;9.5;37;51.4942;6.2463;Geldern-Walbeck;Nordrhein-Westfalen
2017-05-03;1590;10.9;37;51.4942;6.2463;Geldern-Walbeck;Nordrhein-Westfalen
2017-05-04;1590;10.9;37;51.4942;6.2463;Geldern-Walbeck;Nordrhein-Westfalen
2017-05-05;1590;9;37;51.4942;6.2463;Geldern-Walbeck;Nordrhein-Westfalen
2017-05-06;1590;13.1;37;51.4942;6.2463;Geldern-Walbeck;Nordrhein-Westfalen
2017-05-07;1590;12.6;37;51.4942;6.2463;Geldern-Walbeck;Nordrhein-Westfalen
2017-05-08;1590;9.7;37;51.4942;6.2463;Geldern-Walbeck;Nordrhein-Westfalen
